class,tweet
1,RT @UkraineNewsUK: In Kyiv a woman knocked down a Russian drone from a balcony with a jar of cucumbers. How did they expect to occupy this
1,RT @BleedingMarine: Trump withheld military aid to Ukraine and tried to extort Zelenskyy. He wanted to dismantle NATO but was stopped. He c
1,RT @AnonOpsSE: Evacuation of #Irpen. This is who Russia is at war with.#UkraineUnderAtta\xd1\x81k #UkraineRussianWar #StopPutinNOW https://t.c
1,RT @NaamTamilarOrg: It is strongly condemnable that the Indian Embassy in Poland prioritized students from the North in the rescue operatio
0,RT @UkraineNewsUK: In Kyiv a woman knocked down a Russian drone from a balcony with a jar of cucumbers. How did they expect to occupy this
0,@ROCORinCardiff The head of the Russian Orthodox Church #patriarchkirill has commented that #putin9s enemies are ev https://t.co/Bk7MIIP27L
1,06/03/2022 #StandWithUkraine #Ukraine #Kharkiv #kyiv #Odesa #Volnovakha #Sumy #Mariupol #Irpin #UkraineRussianWar * https://t.co/cv1ypZGUMM
0,Ukrainian army soldier with MANPADS in hand in Kharkov... \xa6#UkraineRussianWar https://t.co/cEk0d5kidA
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
1,"RT @a_hrechorowicz: Russian ""soldiers"" are shooting at defenseless civilians#NATO #EU #UkraineRussianWar #UkraineKrieg"
0,"Reports say, a growing number of refugees fleeing Ukraine was expected to reach 1.5 million on Sunday as Russia's a https://t.co/nUy0nmuzJl"
0,RT @BleedingMarine: Trump withheld military aid to Ukraine and tried to extort Zelenskyy. He wanted to dismantle NATO but was stopped. He c
1,"Dam Square is full, much more Dutch people here today in addition to the Ukrainians. Solidarity. #UkraineRussianWar https://t.co/HUQ90pEqXg"
0,"@MarkSKrikorian Heil Azov, Heil Ukraine, Heil NATO, Heil the west and its neo-nazis fueling the conflict! https://t.co/OIfZjwArV5"
0,"RT @journalist_sg: Imran Khan rejects EU diplomats' demand for Pakistan to condemn Ukraine war, while Imran Khan says EU has never asked In"
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,#Poland is a special country. They commiserate w/the plight of #Ukraine since they have experienced the pain and h https://t.co/gmM3hYCDpH
0,RT @RF200_NOW: #UkraineRussianWar #Russia #Ukriane #Kyiv A Russian convoy with fuel trucks was totally annihilated near Kyiv as a result o
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
1,"RT @eduardk: The most beautiful photo I've seen today: Polish moms left strollers at the train station, for Ukrainian moms who may need the"
1,RT @Gadhwara27: This is in #Chernihiv #UkraineUnderAtta\xd1\x81k #UkraineRussianWar  the innocent citizens of Ukraine are been killed8\xad #PrayForUkr
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
1,RT @salwangeorges: George Keburia said goodbye to his wife Maya and his children at the train station in Odessa #Ukraine tonight as they he
1,@ROCORinCardiff The head of the Russian Orthodox Church #patriarchkirill has commented that #putin9s enemies are ev https://t.co/UBQaZEktNs
0,RT @HamrinKay: #UkraineRussianWar #ZelenskyyIsAHero WHEN THE NOVEMBER ELECTIONS COME FIGHT LIKE A UKRAINIAN FOR EVERY DEMOCRATS VICTORY! #V
0,"RT @EmekaGift100: Despite Sanction, United States is still transacting business with Russia .#UkraineRussianWar #natoclosethesky #World"
1,RT @Mujeebtalks: @IAPonomarenko This baby was born in #January in #Kharkiv and died in #February in #Lviv. Pneumonia because of spending ni
0,"RT @guard_democracy: "" From Holland \x8c\xb7 with love "" Stinger downs Russian Mi-24 attack helicopter near Kyiv today. #UkraineRussianWar #Stan"
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,"RT @GoncharenkoUa: Russia struck from the rocket systems on the territory of the National Research Center ""Kharkiv Institute of Physics and"
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,RT @NationalEr_Int: #UkraineRussianWar - Several Russian  banks said on Sunday they would soon start issuing cards using the Chinese \xa8\xb3 @
1,#CloseTheSkyUkraine #UkraineRussianWar #StopPutinNOW @POTUS @NATO civilians don't have a chance for survival if the sky is not closed
1,"RT @Ziakhaaan:  Massive protest of Russians in st petersburg against the war in Ukraine.If they are speaking out against Putin, who are"
0,"@staronline Not for #Russians, I hope @IsmailSabri60 #UkraineRussianWar #TrustNoOne"
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,@ROCORinCardiff The head of the Russian Orthodox Church #patriarchkirill has commented that #putin9s enemies are ev https://t.co/doCMRSrPya
0,"RT @Prodigi0_1: The concert in Cuenca had planned to start with another composition, but instead, the Russian director Dima Slobodeniouk"
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
1,RT @AbalHasanBA1: When you are more worried about spread of #Islam than people dying in war like #UkraineRussianWar this shows how deep roo
0,RT @SholaMos1: Boris Johnson &amp; Priti Patel are turning away #Ukraine refugees at Calais who fled #UkraineRussianWar &amp; struggled THOUSANDS o
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,"RT @maulick_sheth: We are not just producing engineer's and doctors, we are also producing culture less robots. Look how these student's be"
0,RT @CensoredLubbers: Since the sanctions on #Russia: March 1: China &amp; Russia new gas pipeline:https://t.co/G0P2N3BMtBMarch 4: EU buys
1,RT @HocKeysidhu: I repeat with you Drop foods Not bombs #UkraineRussianWar
0,"RT @Prodigi0_1: #Russia Crowds also out in St. Petersburg today too, outside St. Isaac's Cathedral chanting cNo to war!dManifestacion tam"
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,Hey #ChinaRussia : war should benefit no one. Putine is a murderer.#China #UkraineRussianWar #UkraineUnderAtta\xd1\x81k https://t.co/qSPSE78nTh
1,#NewProfiIePic #follo4folloback #PeaceNotWar 100%Back #UkraineRussianWar https://t.co/diDWZgwZ0R
1,Connect the dots game is on #LindseyGraham #Ukraine #UkraineRussianWar https://t.co/66WHNugzax
0,RT @HamrinKay: #UkraineRussianWar #ZelenskyyIsAHero WHEN THE NOVEMBER ELECTIONS COME FIGHT LIKE A UKRAINIAN FOR EVERY DEMOCRATS VICTORY! #V
1,@ROCORinCardiff The head of the Russian Orthodox Church #patriarchkirill has commented that #putin9s enemies are ev https://t.co/3sWzm7da6Q
0,RT @SholaMos1: Boris Johnson &amp; Priti Patel are turning away #Ukraine refugees at Calais who fled #UkraineRussianWar &amp; struggled THOUSANDS o
0,"RT @AnonOpsSE: But despite mass detentions, anti-war protests in Moscow continue.Protesters walk the streets in small groups chanting slo"
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
1,Please #Retweet If You Agree:YES!!We Want #Peace Too!#HelpUkraineNOW!#SanctionRussiaNOW #PutinIsaWarCriminal https://t.co/7KRXANfzl2
0,Russia's tumbling currency keeps falling and falling. Watch the graph going down and soon it will hit the bottom. https://t.co/2XnvCjoOrO
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,"RT @JerryHicksUnite: Boris Johnson  his Tory Government, world leaders at being s**t Ukrainian families turned away by UK at Calais &amp; tol"
1,"RT @desertrose08: UNHCR Special Envoy #Angelina Jolie arrives in #Aden international airport today, in #Yemen to meet those affected by con"
0,"RT @UkraineNewsUK: Former Canadian elite sniper nicknamed ""Wali"" arrived in Ukraine on Wednesday to fight alongside Ukrainian forces. \xa6#S"
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
1,RT @salwangeorges: George Keburia said goodbye to his wife Maya and his children at the train station in Odessa #Ukraine tonight as they he
1,THE EVIL MUST BE STOPPED NOW! #ClosetheSkyoverUkraine #UkraineRussianWar #UkraineUnderAtta\xd1\x81k https://t.co/SNXR59jzwW
0,What's the reason for the corridors' failure? What (foreign) people were in those areas? Who would profit from brea https://t.co/4KDgufq3BU
1,RT @anubha1812: End of ATM culture in Australia as banks go digital But this digital banking will create more problems when you will not g
1,"RT @urbanhaiti: #Ukraine #Russia #UkraineRussianWar  An ethnic Hungarian woman in Zakarpatia region Ukraine, is complaining abou"
0,RT @BleedingMarine: Trump withheld military aid to Ukraine and tried to extort Zelenskyy. He wanted to dismantle NATO but was stopped. He c
1,Sting has a message for #Ukraine https://t.co/z9KOkbWknq#UkraineRussianWar #UkraineRussiaWar #StopPutinwar
0,RT @Truthte83602973: Vladimir Putin President has announced that cRussia's state owned Sberbank is to replace VISA and MasterCard with a ne
1,RT @BleedingMarine: Trump withheld military aid to Ukraine and tried to extort Zelenskyy. He wanted to dismantle NATO but was stopped. He c
1,Putin tells Erdogan: Kyiv must cease fighting and fulfill all of Moscow9s demands in order for the Russian invasion https://t.co/4ZXXjJm5cm
0,"RT @PatilSushmit: #BREAKING : #Russian fighter jets shot down two Mi-8 helicopters of the Armed Forces of #Ukraine near #Kyiv, as well as 6"
1,RT @RobbieBarwick: Sky News interviewing 34yo @SenPaterson on his profound insights into the #UkraineRussianWar is so farcical you can only
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
1,#pleasedontwar #prayforpeace #Ukraine #RussiaUkraine #UkraineRussianWar d7PLEASE DON9T WAR PLEASEd788\xa22 https://t.co/fkJtBbGOWi
0,RT @marcgarlasco: The #Russian way of war is killing civilians. Syria. Georgia. Chechnya. Afghanistan. We are going to see #CIVCAS skyrocke
0,@ROCORinCardiff The head of the Russian Orthodox Church #patriarchkirill has commented that #putin9s enemies are ev https://t.co/A2sAVYPZq6
0,RT @SholaMos1: Boris Johnson &amp; Priti Patel are turning away #Ukraine refugees at Calais who fled #UkraineRussianWar &amp; struggled THOUSANDS o
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
1,RT @tariqtramboo: I completely agree. Listen to this speech and you may change your opinion about #UkraineRussianWar https://t.co/7QZ7HI1XwL
1,I'm immensely impressed by the Ukrainian women. Apparently one older lady has stroke an Russian drone from her balc https://t.co/fz7798yEMj
1,RT @gundemanaliz: a\xa8a\xa8The final version of the Russian convoy #Ukrayna #UkraineRussianWar#ucraine #UkraineUnderAtta\xd1\x81k #Kiev #Kyivunderatt
0,RT @BleedingMarine: Trump withheld military aid to Ukraine and tried to extort Zelenskyy. He wanted to dismantle NATO but was stopped. He c
0,"RT @maulick_sheth: We are not just producing engineer's and doctors, we are also producing culture less robots. Look how these student's be"
0,"RT @CKosaseang: RIP combat doctor 72th brigade Valentina Pushich ""Romashka"" #UkraineRussianWar #Ukraine https://t.co/DffMVcFvo2"
0,Hamas should start recruiting outside of Palestine just like Ukraine to wipe out Israel.#UkraineRussianWar #Palestine
0,"RT @ZeeNewsEnglish: ""Talked to Elon Musk. I`m grateful to him for supporting Ukraine with words and deeds,"" Zelenskiy tweeted#UkraineRuss"
0,"RT @TheNewIndian_in: Why NATO is at fault, and not Russia, Dr. Vijay Sazawal, US-based nuclear policy expert, tells TNI Editor-in-Chief @Aa"
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,So what say we name this insane war the Kozel war perhaps? #kozelwar #PutinWarCrimes #CloseTheSkyUkraine #UkraineRussianWar
1,RT @antelava: This is Europe 2022. Ukrainians crowd under a destroyed bridge as they try to flee across #Kyiv by crossing  the Irpin river.
0,"RT @Ziakhaaan:  Massive protest of Russians in st petersburg against the war in Ukraine.If they are speaking out against Putin, who are"
0,"RT @Ziakhaaan:  Massive protest of Russians in st petersburg against the war in Ukraine.If they are speaking out against Putin, who are"
0,"@PadraigMcGowan @kel882656 @CNN Hi Padraig,They are rhetorical questions!!! But just to reassure you, I9ll answer https://t.co/AQ8ksHnERF"
0,@ROCORinCardiff The head of the Russian Orthodox Church #patriarchkirill has commented that #putin9s enemies are ev https://t.co/KdFTWACH6z
1,"RT @AnonOpsSE: Meanwhile in Russia, citizens doesn't know what's really happening in #Ukraine #UkraineUnderAtta\xd1\x81k #UkraineRussianWar #Pu"
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,Help Ukraine @SeanPenn @aplusk @KimKardashian @OlyaKurylenko @JLo  @kanyewest #UkraineRussianWar https://t.co/5PfJmHqmZ5
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,"RT @AcknerEzra: Public demonstration against Russian invaders in Kherson, #Ukraine currently occupied by Russian forces. Among the slogans"
0,First @BorisJohnson needs to know how to operate an umbrella than take that sausage out of his mouth than put the b https://t.co/bVCgYqzgzD
0,RT @Johnwboyko: These are the people Putin is attacking. #UkraineRussianWar
1,RT @ThatTimWalker: #UkraineRussianWar is one of those moral issues that define us all: what a grubby weak compromised little country it has
0,RT @BleedingMarine: Trump withheld military aid to Ukraine and tried to extort Zelenskyy. He wanted to dismantle NATO but was stopped. He c
1,"RT @TheGh0st0fKyiv: #Ukraine #UkraineRussianWar Make Love 292b, Not WarStop the War &amp; Let Love, Peace, Harmony prevail.I Stand with @"
0,"RT @aniketnaik123: #Ukraine #UkraineRussianWar Ukrainian Women at War against Evil Putin, may God bless &amp; protect u all.Our prayers ar"
0,"RT @GoncharenkoUa: Russia struck from the rocket systems on the territory of the National Research Center ""Kharkiv Institute of Physics and"
0,"RT @UkraineNewsUK: Former Canadian elite sniper nicknamed ""Wali"" arrived in Ukraine on Wednesday to fight alongside Ukrainian forces. \xa6#S"
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,RT @NottFoundation: Yesterday we held a 12 hour webinar for over 200 doctors working in Ukraine. Honoured to be joined by neurosurgeon Henr
1,I created a flag that Russia can adopt during the Ukraine War. #UkraineRussianWar #Putin #PutinsWar #PutinsKrieg https://t.co/smYhYR6ZnU
1,"RT @defensesentinel: Aftermath of Civilians who tried to escape in the attack in the Irpin region, near Kiev, were injured as a result of R"
0,"RT @GoncharenkoUa: Russia struck from the rocket systems on the territory of the National Research Center ""Kharkiv Institute of Physics and"
0,RT @NaamTamilarOrg: It is strongly condemnable that the Indian Embassy in Poland prioritized students from the North in the rescue operatio
1,RT @alessiolasta: Verso Irpin #UkraineRussianWar #UkraineUnderAtta\xd1\x81k #Ucraina #Reportage #Piazzapulita https://t.co/h1JGcL5Phu
0,RT @salwangeorges: George Keburia said goodbye to his wife Maya and his children at the train station in Odessa #Ukraine tonight as they he
1,"RT @Shortwave_Spy: Excellent article by @KyivIndependent we were featured in!  Appreciate the accurate inclusion of info on ""The Buzzer"" #U"
1,"There would be plenty of #ISIS &amp; #AlQaeda remnants among rhe refugees from Syria,  Iraq. They would be the best https://t.co/9koUNLtnrN"
1,"RT @Sanatan_Prabhat: If Putin is not stopped, Europe will be destroyed ! : #Zelenskyy, President of UkraineRussia has banned social media"
0,Maybe @JoeBiden should consult with @elonmusk on how to help with #UkraineRussianWar Not joking @WhiteHouse https://t.co/wLuwDDmYoo
1,RT @Now_in_Ukraine: Irpin. Russian invaders destroyed a house in which a large family lived.#StopPutinNOW #UkraineRussianWar #StopWar
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,"RT @GoncharenkoUa: Russia struck from the rocket systems on the territory of the National Research Center ""Kharkiv Institute of Physics and"
0,@ROCORinCardiff The head of the Russian Orthodox Church #patriarchkirill has commented that #putin9s enemies are ev https://t.co/wS851AF61T
1,RT @gundemanaliz: a\xa8a\xa8The final version of the Russian convoy #Ukrayna #UkraineRussianWar#ucraine #UkraineUnderAtta\xd1\x81k #Kiev #Kyivunderatt
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
1,RT @OffGuardian0: Do you see how totally the anti-Great Reset movement has been fragmented into taking opposing sides over the #UkraineRuss
0,RT @midh_am: cCaption thisd#UkraineRussianWar https://t.co/mirQmmHO2t
1,"RT @GoncharenkoUa: Russia struck from the rocket systems on the territory of the National Research Center ""Kharkiv Institute of Physics and"
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,"RT @W_W_3_2022: This is what's happening in my country RIGHT NOW. People of the world, skip one of your Netflix shows and watch this instea"
1,RT @brightinDarkk: We can now understand why the Chinese built alternatives to all western companies and businesses.Western sanctions wou
0,"Big Breaking NowUkrainian President Volodymyr Zelensky - to world leaders: ""Close the sky over Ukraine, or give u https://t.co/fEnOyvjPE4"
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,From the @ICRC: Rules of #war: Why they matterhttps://t.co/qqjkiZUc1o#WARINUKRAINE #WarCrime #UkraineRussianWar https://t.co/ZStKmW0gQ2
0,"RT @GoncharenkoUa: Russia struck from the rocket systems on the territory of the National Research Center ""Kharkiv Institute of Physics and"
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,RT @okyouarerighttt: #UkraineRussianWar Putin to Biden https://t.co/Q3RBQUvReX
0,RT @arash_gallery: Slava ukraini. Donating all proceeds to charity. https://t.co/0w7WsHeXra#nft #UkraineRussianWar #artivism #nftcollecto
1,President Zelensky just recorded an appeal to the U.S. and NATO to provide  Ukraine with the MiG-29 fighter jets th https://t.co/MXICdv2aYr
0,RT @CathyGraphics3: @ProjectLincoln @Kyiv This is Putin's war and it needs to STOP!#UkraineRussianWar #UkraineUnderAtta\xd1\x81k https://t.co/YVz
